step,policy_angle_bin,policy_speed_bin,policy_macro_bin,effective_macro_bin,targeted_stuck_macro_triggered,stuck_macro_triggered,targeted_stuck_macro_context,stuck_macro_context,reward,distance,angle_error,wrapper_angle_error,no_progress_time,stuck_time,time_since_collision,wrapper_recent_collision_norm,recovery_mode,macro_recovery_steps_left,success_flag,x,y,heading
1,2,1,0,0,0,0,0,0,-12.994461430587457,1487.277587890625,-2.161428272956564,-2.9805326748817156,0.3,0.0,5.3,0.0,0,0,0,-549.3302001953125,-513.696044921875,2.9298838301105032
2,2,1,0,0,0,0,0,0,-5.843583551172668,1480.224853515625,-1.3433229939274511,-2.1427746339244376,0.0,0.0,5.6,0.0,0,0,0,-564.2711791992188,-487.6813049316406,2.0921257891532257
3,2,1,0,0,0,0,0,0,1.5499530205377192,1454.0504150390625,-0.5155572445864638,-1.30501659296716,0.0,0.0,5.8999999999999995,0.0,0,0,0,-554.9359741210938,-459.17071533203125,1.254367748195948
4,2,1,0,0,0,0,0,0,5.682467944673204,1424.0504150390625,5.678545156317938e-08,-0.5150357875178475,0.0,0.0,6.199999999999999,0.0,0,0,0,-532.7578735351562,-438.96844482421875,0.7388105036094843
5,2,1,0,0,0,0,0,0,5.797974900151988,1394.050537109375,-5.870490371595594e-08,0.0005214570686162823,0.0,0.0,6.499999999999999,0.0,0,0,0,-510.57977294921875,-418.76617431640625,0.7388105603949358
6,2,1,0,0,0,0,0,0,5.798021240397872,1364.0504150390625,2.9108993215842816e-08,0.003394165347404332,0.0,0.0,6.799999999999999,0.0,0,0,0,-488.40167236328125,-398.56390380859375,0.7388105016900322
7,2,1,0,0,0,0,0,0,5.797999649717718,1334.0504150390625,-3.914550905648184e-10,0.003394224052307937,0.0,0.0,7.099999999999999,0.0,0,0,0,-466.22357177734375,-378.36163330078125,0.7388105307990256
8,2,1,0,0,0,0,0,0,5.797999656132953,1304.0504150390625,-4.094660166487074e-10,-0.000243059294814163,0.0,0.0,7.399999999999999,0.0,0,0,0,-444.04547119140625,-358.15936279296875,0.7388105304075707
9,2,1,0,0,0,0,0,0,5.797999656107415,1274.0504150390625,-4.287490362742119e-10,-0.00024305890335929445,0.0,0.0,7.699999999999998,0.0,0,0,0,-421.86737060546875,-337.95709228515625,0.7388105299981045
10,2,1,0,0,0,0,0,0,5.797999656080036,1244.0504150390625,-4.494276062416702e-10,-0.00024305849389305578,0.0,0.0,7.999999999999998,0.0,0,0,0,-399.68927001953125,-317.75482177734375,0.7388105295693554
11,2,1,0,0,0,0,0,0,5.797999656050637,1214.0504150390625,-4.71638950116926e-10,0.0015269614661059805,0.0,0.0,8.299999999999999,0.0,0,0,0,-377.51116943359375,-297.55255126953125,0.7388105291199278
12,2,1,0,0,0,0,0,0,5.79799965601901,1184.0504150390625,-4.955387211680318e-10,0.0015269619155335867,0.0,0.0,8.6,0.0,0,0,0,-355.33306884765625,-277.35028076171875,0.7388105286482891
13,2,1,0,0,0,0,0,0,5.797999655984928,1154.0504150390625,-5.213018905436684e-10,0.0015269623871723148,0.0,0.0,8.9,0.0,0,0,0,-333.15496826171875,-257.14801025390625,0.7388105281527504
14,2,1,0,0,0,0,0,0,5.797975119815152,1124.050537109375,-5.49127965321361e-10,-0.0012938865359291007,0.0,0.0,9.200000000000001,0.0,0,0,0,-310.97686767578125,-236.94573974609375,0.7388105276314483
15,2,1,0,0,0,0,0,0,5.798021204194288,1094.0504150390625,-5.792436530427381e-10,-0.0012938860146269882,0.0,0.0,9.500000000000002,0.0,0,0,0,-288.79876708984375,-216.74346923828125,0.7388105270823204
16,2,1,0,0,0,0,0,0,5.7979996558651425,1064.0504150390625,-6.119060813603028e-10,0.003946137670639782,0.0,0.0,9.800000000000002,0.0,0,0,0,-266.62066650390625,-196.54119873046875,0.7388105265030767
17,2,1,0,0,0,0,0,0,5.797999655818233,1034.0504150390625,-6.474114577770251e-10,0.003946138249883547,0.0,0.0,10.0,0.0,0,0,0,-244.44256591796875,-176.33892822265625,0.7388105258911706
18,2,1,0,0,0,0,0,0,5.797987408045705,1004.0504760742188,-6.86099399516138e-10,0.0010119214087866981,0.0,0.0,10.0,0.0,0,0,0,-222.26446533203125,-156.13665771484375,0.7388105252437591
19,2,1,0,0,0,0,0,0,5.798010642039469,974.0504150390625,-7.283623704168463e-10,0.0010119220561981557,0.0,0.0,10.0,0.0,0,0,0,-200.08636474609375,-135.93438720703125,0.7388105245576599
20,2,1,0,0,0,0,0,0,-0.8020000001632189,974.0504150390625,-1.1102230246251565e-16,0.0010119227422973331,0.3,0.3,0.0,0.0,0,0,0,-200.08636474609375,-135.93438720703125,0.7388105238292977
21,2,1,0,0,0,0,0,1,-1.173,974.0504150390625,-1.1102230246251565e-16,0.00032265535847697535,0.6,0.6,0.0,1.0,0,0,0,-200.08636474609375,-135.93438720703125,0.7388105238292977
22,2,1,0,0,0,0,0,1,-1.3590000000000002,974.0504150390625,-1.1102230246251565e-16,0.00032265535847697535,0.8999999999999999,0.8999999999999999,0.0,1.0,0,0,0,-200.08636474609375,-135.93438720703125,0.7388105238292977
23,2,1,0,0,0,0,0,1,-1.6410000000000002,974.0504150390625,-1.1102230246251565e-16,-0.00033591636164631566,1.2,1.2,0.0,1.0,0,0,0,-200.08636474609375,-135.93438720703125,0.7388105238292977
24,2,1,0,3,0,1,0,1,-3.582866666666667,974.0504150390625,0.8377580409572779,-0.00033591636164631566,1.5,1.5,0.0,1.0,3,3,0,-200.08636474609375,-135.93438720703125,-0.09894751712798033
25,2,1,0,1,0,1,0,1,-1.5237481292343837,963.1278076171875,1.678886224893655,0.8374221245956317,0.9,1.8,0.0,1.0,3,0,0,-189.82171630859375,-130.97486877441406,-0.9367055580852583
26,2,1,0,0,0,0,0,1,-2.866624509314501,963.1278076171875,0.8411281839363769,1.679435817980583,1.2,2.1,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,-0.09894751712798033
27,2,1,0,0,0,0,0,1,-2.552491175981168,963.1278076171875,0.003370142979098878,0.841677777023305,1.5,2.4,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7388105238292977
28,2,1,0,0,0,0,0,1,-2.673755215878983,963.1278076171875,-2.220446049250313e-16,0.0018084203387931375,1.8,2.6999999999999997,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
29,2,1,0,0,0,0,0,1,-2.9850000000000003,963.1278076171875,-2.220446049250313e-16,-0.0015617226403059625,2.1,2.9999999999999996,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
30,2,1,0,0,0,0,0,1,-3.297,963.1278076171875,-2.220446049250313e-16,-0.0015617226403059625,2.4,3.2999999999999994,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
31,2,1,0,0,0,0,0,1,-3.609,963.1278076171875,-2.220446049250313e-16,-0.00018002736976763245,2.6999999999999997,3.599999999999999,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
32,2,1,0,0,0,0,0,1,-3.9209999999999994,963.1278076171875,-2.220446049250313e-16,-0.00018002736976763245,2.9999999999999996,3.899999999999999,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
33,2,1,0,0,0,0,0,1,-4.233,963.1278076171875,-2.220446049250313e-16,0.0015604878623185494,3.2999999999999994,4.199999999999999,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
34,2,1,0,0,0,0,0,1,-4.544999999999999,963.1278076171875,-2.220446049250313e-16,0.0015604878623185494,3.599999999999999,4.499999999999999,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
35,2,1,0,0,0,0,0,1,-4.856999999999999,963.1278076171875,-2.220446049250313e-16,0.0015604878623185494,3.899999999999999,4.799999999999999,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
36,2,1,0,0,0,0,0,1,-5.008,963.1278076171875,-2.220446049250313e-16,0.0005463148314652778,4.199999999999999,5.099999999999999,0.0,1.0,0,0,0,-189.82171630859375,-130.97486877441406,0.7421806668083968
37,2,1,0,4,0,1,0,1,-6.253866666666666,963.1278076171875,0.8377580409572778,0.0005463148314652778,4.499999999999999,5.399999999999999,0.0,1.0,4,5,0,-189.82171630859375,-130.97486877441406,-0.09557737414888123
38,2,1,0,0,0,0,0,1,-10.176862602718584,964.6323852539062,1.6894348463197257,0.8383043557887433,4.799999999999999,5.699999999999998,0.0,1.0,4,4,0,-181.78709411621094,-141.82359313964844,-0.9333354151061592
39,2,1,0,0,0,0,0,1,-12.358220152537147,971.5182495117188,2.5178077773164853,1.6886268770507393,5.099999999999999,5.999999999999998,0.0,1.0,4,3,0,-193.0211181640625,-139.8853302001953,-1.7710934560634373
40,2,1,0,0,0,0,0,1,-19.08187958375473,1000.8543701171875,-2.933984422106516,2.5263849180080173,5.399999999999999,5.099999999999998,0.3,1.0,4,2,0,-218.86366271972656,-155.12222290039062,-2.6088514970207153
41,2,1,0,0,0,0,0,1,-16.624889957550174,1016.2333374023438,-2.1217678135265703,-2.9190423482142913,5.699999999999998,4.1999999999999975,0.6,0.9,4,1,0,-247.47891235351562,-146.11294555664062,2.836575769201593
42,2,1,0,3,0,1,0,1,-11.967363942444742,1017.4965209960938,-1.6276463817560867,-2.1189497935927673,5.999999999999998,3.2999999999999976,0.8999999999999999,0.8,4,0,0,-267.75579833984375,-124.0030517578125,2.312976993603293
43,2,1,0,0,0,0,0,1,-3.633973450113358,996.6065673828125,-0.8112707683938404,-1.5953510179944672,5.399999999999999,2.3999999999999977,1.2,0.7,0,0,0,-264.8928527832031,-94.13996887207031,1.4752189526460153
44,2,1,0,0,0,0,0,1,3.062200873658828,966.6065673828125,-9.778315046560238e-09,-0.8117904672524912,4.799999999999999,1.4999999999999978,1.5,0.6000000000000001,0,0,0,-241.26588439941406,-75.65303802490234,0.6639481842521748
45,2,1,0,0,0,0,0,1,3.291986611328755,936.6066284179688,4.091797300986855e-08,-0.0005196988586506633,4.199999999999999,0.5999999999999979,1.8,0.5,0,0,0,-217.638916015625,-57.166107177734375,0.6639481744738598
46,2,1,0,0,0,0,0,1,3.619010198989956,906.6065673828125,-9.395027422698377e-09,-0.0006320438357372282,3.599999999999999,0.0,2.1,0.4,0,0,0,-194.01194763183594,-38.67917251586914,0.6639482153918328
