step,policy_angle_bin,policy_speed_bin,policy_macro_bin,effective_macro_bin,targeted_stuck_macro_triggered,stuck_macro_triggered,targeted_stuck_macro_context,stuck_macro_context,reward,distance,angle_error,wrapper_angle_error,no_progress_time,stuck_time,time_since_collision,wrapper_recent_collision_norm,recovery_mode,macro_recovery_steps_left,success_flag,x,y,heading
1,2,1,0,0,0,0,0,0,-12.50148663872797,1485.46826171875,-2.091183844595412,-2.912171547281289,0.3,0.0,5.3,0.0,0,0,0,-548.80908203125,-511.6312561035156,2.858883826071935
2,2,1,0,0,0,0,0,0,-5.249702367458094,1476.38134765625,-1.2727321532583682,-2.07441350632401,0.0,0.0,5.6,0.0,0,0,0,-561.866943359375,-484.62213134765625,2.0211257851146573
3,2,1,0,0,0,0,0,0,2.1665138261552133,1449.22998046875,-0.44369724346982176,-1.2724185502551908,0.0,0.0,5.8999999999999995,0.0,0,0,0,-550.5326538085938,-456.8456115722656,1.1833677441573798
4,2,1,0,0,0,0,0,0,5.698568863008647,1419.22998046875,3.3699953716492814e-08,-0.43466050929791317,0.0,0.0,6.199999999999999,0.0,0,0,0,-528.3719482421875,-436.624267578125,0.7396705006875579
5,2,1,0,0,0,0,0,0,5.797997271811999,1389.22998046875,3.515543478549432e-08,-0.000774011544186326,0.0,0.0,6.499999999999999,0.0,0,0,0,-506.21124267578125,-416.4029235839844,0.7396705343875118
6,2,1,0,0,0,0,0,0,5.79799745283151,1359.22998046875,-5.699792371416379e-08,-0.0007740452441402645,0.0,0.0,6.799999999999999,0.0,0,0,0,-484.050537109375,-396.18157958984375,0.7396705695429469
7,2,1,0,0,0,0,0,0,5.797997273878216,1329.22998046875,-2.862018511073927e-08,-0.0007740803995752721,0.0,0.0,7.099999999999999,0.0,0,0,0,-461.88983154296875,-375.9602355957031,0.7396705125450231
8,2,1,0,0,0,0,0,0,5.79799885437485,1299.22998046875,4.7602727315521065e-09,-0.0012534831642248003,0.0,0.0,7.399999999999999,0.0,0,0,0,-439.7290954589844,-355.7388916015625,0.7396704839248378
9,2,1,0,0,0,0,0,0,5.797998823328169,1269.22998046875,3.7398983243619455e-08,-0.0012534545440394673,0.0,0.0,7.699999999999998,0.0,0,0,0,-417.568359375,-335.5175476074219,0.7396704886851104
10,2,1,0,0,0,0,0,0,5.7979972763179335,1239.22998046875,-3.037098583735798e-08,0.0008927251401154024,0.0,0.0,7.999999999999998,0.0,0,0,0,-395.40765380859375,-315.29620361328125,0.7396705260840939
11,2,1,0,0,0,0,0,0,5.797997276212519,1209.22998046875,-3.1877944839386885e-08,0.0008926877411319367,0.0,0.0,8.299999999999999,0.0,0,0,0,-373.2469482421875,-295.0748596191406,0.7396704957131082
12,2,1,0,0,0,0,0,0,5.797999096934935,1179.22998046875,3.9621120717647784e-08,0.000892718112117663,0.0,0.0,8.6,0.0,0,0,0,-351.0862121582031,-274.853515625,0.7396704638351634
13,2,1,0,0,0,0,0,0,5.79799885064834,1149.22998046875,5.891450771677853e-09,0.003284505570964491,0.0,0.0,8.9,0.0,0,0,0,-328.92547607421875,-254.63217163085938,0.739670503456284
14,2,1,0,0,0,0,0,0,5.797997279247377,1119.22998046875,-3.4075863242222226e-08,0.0032844659498438844,0.0,0.0,9.200000000000001,0.0,0,0,0,-306.7647705078125,-234.41082763671875,0.7396705093477349
15,2,1,0,0,0,0,0,0,1.7066803167244688,1106.014892578125,0.0024801707218986557,-0.0016814413164238928,0.0,0.3,0.0,0.0,0,0,0,-295.1514892578125,-227.52737426757812,0.7396704752718719
16,2,1,0,0,0,0,0,1,2.267413683679464,1092.5150146484375,1.4700743289353113e-08,-0.0016814072405608727,0.0,0.6,0.0,1.0,0,0,0,-285.2017822265625,-218.40306091308594,0.7421506459937706
17,2,1,0,0,0,0,0,1,2.2679972342473014,1079.0150146484375,-2.6621211790534005e-08,-0.004161577962459528,0.0,0.8999999999999999,0.0,1.0,0,0,0,-275.2520446777344,-209.2787628173828,0.7421506606945139
18,2,1,0,0,0,0,0,1,6.597998472853962,1049.0150146484375,5.792213164657056e-08,0.002517465411748354,0.0,0.0,0.3,1.0,0,0,0,-253.14154052734375,-189.00253295898438,0.742150634073302
19,2,1,0,0,0,0,0,1,5.798010267537437,1019.0149536132812,1.7188090062347783e-08,0.0025174920329602557,0.0,0.0,0.6,0.9,0,0,0,-231.03103637695312,-168.72628784179688,0.7421506919954335
20,2,1,0,0,0,0,0,1,5.797999120561899,989.0149536132812,-2.3479468813647483e-08,0.0008160195257151947,0.0,0.0,0.8999999999999999,0.8,0,0,0,-208.9205322265625,-148.45004272460938,0.7421507091835235
21,2,1,0,0,0,0,0,0,5.797986829102973,959.0150146484375,-2.4948441978978053e-08,0.0008160023376251324,0.0,0.0,1.2,0.7,0,0,0,-186.81002807617188,-128.17379760742188,0.7421506857040545
22,2,1,0,0,0,0,0,0,5.798010475308513,929.0149536132812,1.7844411503986635e-08,0.0011704350349286408,0.0,0.0,1.5,0.6000000000000001,0,0,0,-164.69952392578125,-107.8975601196289,0.7421506607556125
23,2,1,0,0,0,0,0,0,5.797999407864196,899.0149536132812,1.9035343856721457e-08,0.0011704599833706197,0.0,0.0,1.8,0.5,0,0,0,-142.58901977539062,-87.62132263183594,0.7421506786000238
24,2,1,0,0,0,0,0,0,5.797999398582216,869.0149536132812,-2.7120351742127013e-08,0.0010372853625311151,0.0,0.0,2.1,0.4,0,0,0,-120.478515625,-67.34508514404297,0.7421506976353678
